question,answer
"Tôi nhận thẻ (tín dụng/ghi nợ) nhưng không sử dụng được tại ATM, tôi không biết nguyên nhân vì sao?","Khách hàng nhận được Thẻ mới phát hành nhưng không sử dụng được có thể do các nguyên nhân và hướng xử lý như sau:
1. Thẻ chưa được mở khóa/chưa được kích hoạt. Để kích hoạt thẻ, Quý khách có thể thực hiện theo một trong các hướng dẫn sau:
- Nhắn tin SMS đến tổng đài 6167 theo cú pháp: VCB<dấu cách><KHT><6 số đầu của thẻ cần kích hoạt><ba dấu  chấm><3 số cuối của thẻ cần kích hoạt> (Ví dụ: VCB KHT 412975...123)
(Hoặc soạn VCB HELP hoặc HELP KHT gửi 6167 để được hướng dẫn);
- Đăng nhập VCB Digibank, tại mục Dịch vụ Thẻ chọn tính năng Kích hoạt thẻ;
- Liên  hệ chi nhánh phát hành thẻ ;
2. Nhập sai số PIN đã được NH cấp lần đầu: Quý khách kiểm tra và nhập đúng số PIN đã được cung cấp
3. Thẻ bị lỗi vật lý hoặc bị lỗi trong quá trình bảo quản thẻ của KH: Quý khách liên hệ CN phát hành thẻ/TTDVKH để được hỗ trợ và phát hành lại thẻ​​​​"
Tôi có thể sử dụng CCCD để rút tiền tại ATM VCB được không?,"Nhằm gia tăng tiện ích cho khách hàng sử dụng sản phẩm và dịch vụ của Ngân hàng, Vietcombank đã triển khai dịch vụ  sử dụng CCCD rút tiền mặt tại ATM VCB cho chủ thẻ ghi nợ Vietcombank Connect24. Hiện tai, VCB đang thực hiện thí điểm tại 02 máy ATM:
- 01 ATM (mã hiệu 10800486)- tại trụ sở CN Ba Đình - 72 Trần Hưng Đạo, TP Hà Nội
- 01 ATM (mã hiệu 10800074)- Tại SGD - 198 Trần Quang Khải, TP Hà Nội.
Các bước thực hiện RTM bằng CCCD tại ATM VCB như sau:
Bước 1: KH lựa chọn ‘Giao dịch không dùng thẻ’
Bước 2: Lựa chọn ngôn ngữ
Bước 3: KH lựa chọn giao dich “Rút tiền bằng CCCD” trên máy ATM
Bước 4: KH lựa chọn phương thức xác thực cho giao dịch rút tiền bằng CCCD
KH lựa chọn 01 trong 02 phương thức:
- Xác thực bằng khuôn mặt
- Xác thực bằng vân tay
Bước 5: KH đặt thẻ CCCD gắn chip vào thiết bị đọc và thực hiện xác thực theo hướng dẫn tại máy ATM
Bước 6: Sau khi xác thực thông tin CCCD của KH thành công , hệ thống hiện thị số thẻ tương ứng của KH trên màn hình ATM
Bước 7: KH nhập PIN thẻ và thực hiện giao dịch rút tiền mặt như thông thường"
Tôi có thẻ phi vật lý mà chưa có thẻ vật lý thì có thẻ rút tiền qua app được không?,"​Thẻ phi vật lý Vietcombank eCard mang lại cho Anh/Chị nhiều tiện ích và tính năng hấp dẫn: Không cần mang theo thẻ vật lý bên mình, khách hàng vẫn có thể: rút tiền mặt, mua sắm và thanh toán: Rút tiền mặt bằng mã QR tại các ATM Vietcombank; Mua hàng trực tuyến tiện lợi; Thanh toán qua các ứng dụng di động; Liên kết thẻ với các Ví điện tử. Khách hàng có thể tham khảo hướng dẫn rút tiền bằng mã QR
tại đây"
Tôi có thể rút tiền mặt bằng mã QR tại ATM của Ngân hàng khác không?,"​Dịch vụ rút tiền bằng mã QR trên ATM cho phép khách hàng thực hiện rút tiền mặt tại ATM của Vietcombank thông qua ứng dụng VCB Digibank, không thực hiện được rút tiền mặt tại ATM của Ngân hàng khác"
"Khi thực hiện rút tiền mặt bằng thẻ nội địa Ngân hàng khác phát hành trên ATM VCB, tôi phải trả các khoản phí nào?","Quý khách hàng là chủ thẻ nội địa ngân hàng khác khi rút tiền mặt tại máy ATM VCB không phải trả khoản phí nào cho VCB, nếu có phí là do NHPH thu, đề nghị quý khách liên hệ với NHPH để làm rõ về khoản phí đã bị trích nợ.
​"
"KH là chủ thẻ ghi nợ nội địa VCB phát hành, KH phải làm gì khi gặp sự cố giao dịch không thành công tại máy ATM nhưng tài khoản thẻ vẫn bị trừ tiền","Trong trường hợp Quý khách là chủ thẻ VCB gặp sự cố tại máy ATM, giao dịch không thành công tài khoản thẻ vẫn bị trừ tiền , Qúy khách vui lòng liên hệ qua tổng đài 1900545413 (đối với khách hàng thường) hoặc 18001565 (đối với KH ưu tiên) hoặc CN/PGD VCB gần nhất hoặc truy cập ứng dụng VCB Digibank để thực hiện tra soát.​​​​"
"KH là chủ thẻ ghi nợ quốc tế VCB phát hành, KH phải làm gì khi gặp sự cố giao dịch không thành công tại máy ATM nhưng tài khoản thanh toán gắn với thẻ vẫn bị trừ tiền/ bị khoanh giữ","​Trong trường hợp Quý khách là chủ thẻ VCB gặp sự cố tại máy ATM, giao dịch không thành công tài khoản thẻ vẫn bị trừ tiền , Qúy khách vui lòng liên hệ qua tổng đài 1900545413 hoặc CN/PGD VCB gần nhất để thực hiện tra soát.​​​​"
"Khách hàng là chủ thẻ Ngân hàng khác phát hành, KH phải làm gì khi gặp sự cố giao dịch không thành công tại máy ATM của VCB nhưng tài khoản thẻ vẫn bị trừ tiền","​​​​Trong trường hợp quý khách hàng là chủ thẻ Ngân hàng khác phát hành gặp sự cố tại máy ATM của VCB, giao dịch không thành công nhưng tài khoản vẫn bị trừ tiền, đề nghị Quý khách liên hệ với NHPH thẻ của mình để làm tra soát"
"KH là chủ thẻ ghi nợ do VCB phát hành. Nếu KH đã chuyển tiền và nhận được tin nhắn trừ tiền của ngân hàng nhưng tài khoản hưởng chưa nhận được tiền, tôi cần phải làm gì?","​Nếu tài khoản hưởng tại ngân hàng khác chưa nhận được tiền, Quý khách cần kiểm tra lại biến động số dư tài khoản VCB trên Digibank. Nếu tài khoản VCB của Quý khách đã bị trừ tiền, Quý khách cần liên hệ với VCB theo các cách dưới đây để được hỗ trợ:
- CN/PGD bất kỳ của VCB
- Trung tâm hỗ trợ khách hàng theo số điện thoại 1900.54.54.13
- Gửi tra soát thông qua Digibank của VCB"
Tôi có thể chuyển tiền theo hình thức nào trên máy ATM?,"​Trường hợp Quý khách là chủ thẻ VCB, Quý khách có thể chuyển khoản trên máy ATM theo các hình thức sau:
* Chuyển tiền từ thẻ đến Tài khoản
- Chuyển khoản nội bộ trong VCB: Quý khách có thể thực hiện chuyển khoản đến tài khoản khác của VCB trên máy ATM của VCB và ATM của Ngân hàng khác
- Chuyển khoản tới tài khoản của Ngân hàng khác: Quý khách không thể thực hiện chuyển khoản đến tài khoản Ngân hàng khác trên máy ATM. Trường hợp Quý khách muốn thực hiện giao dịch này, Quý khách có thể thực hiện trên Digibank của VCB ở trên App hoặc web.
*Chuyển tiền từ thẻ tới thẻ:
+ Chuyển tiền tới thẻ của Ngân hàng khác: Quý khách có thể thực hiện chuyển tiền đến số thẻ của Ngân hàng khác trên máy ATM của VCB"
